hr,Density,Links,B,V,Size
260,0.8931818181818182,786,16,55,71
261,0.8931818181818182,786,16,55,71
262,0.8895089285714286,797,16,56,72
263,0.8881578947368421,810,16,57,73
264,0.8937048503611971,866,17,57,74
265,0.8937048503611971,866,17,57,74
266,0.8914807302231237,879,17,58,75
267,0.891640866873065,864,17,57,74
268,0.8873379860418744,890,17,59,76
269,0.8864097363083164,874,17,58,75
270,0.8843469591226321,887,17,59,76
271,0.8794599807135969,912,17,61,78
272,0.8813886210221794,914,17,61,78
273,0.8751131221719457,967,17,65,82
274,0.8802083333333334,1014,18,64,82
275,0.8826164874551972,985,18,62,80
276,0.8852459016393442,972,18,61,79
277,0.8879781420765027,975,18,61,79
278,0.891713747645951,947,18,59,77
279,0.891713747645951,947,18,59,77
280,0.8907721280602636,946,18,59,77
281,0.9025862068965518,1047,20,58,78
282,0.9008474576271186,1063,20,59,79
283,0.903968253968254,1139,21,60,81
284,0.9009216589861752,1173,21,62,83
285,0.9032006245120999,1157,21,61,82
286,0.8988095238095238,1208,21,64,85
287,0.89375,1144,20,64,84
288,0.89375,1144,20,64,84
289,0.89375,1144,20,64,84
290,0.89375,1144,20,64,84
291,0.8923076923076924,1160,20,65,85
292,0.89375,1144,20,64,84
293,0.89375,1144,20,64,84
294,0.896774193548387,1112,20,62,82
295,0.898360655737705,1096,20,61,81
296,0.898360655737705,1096,20,61,81
297,0.8959677419354839,1111,20,62,82
298,0.8959677419354839,1111,20,62,82
299,0.8944444444444445,1127,20,63,83
300,0.8921901528013583,1051,19,62,81
301,0.8921901528013583,1051,19,62,81
302,0.8921901528013583,1051,19,62,81
303,0.8921901528013583,1051,19,62,81
304,0.8938740293356342,1036,19,61,80
305,0.8913412563667232,1050,19,62,81
306,0.8913412563667232,1050,19,62,81
307,0.8913412563667232,1050,19,62,81
308,0.8913412563667232,1050,19,62,81
309,0.8862007168458781,989,18,62,80
310,0.8862007168458781,989,18,62,80
311,0.8862007168458781,989,18,62,80
312,0.8879781420765027,975,18,61,79
313,0.8852459016393442,918,17,61,78
314,0.8852459016393442,918,17,61,78
315,0.8852459016393442,918,17,61,78
316,0.8852459016393442,918,17,61,78
317,0.8852459016393442,918,17,61,78
318,0.8852459016393442,918,17,61,78
319,0.8852459016393442,918,17,61,78
320,0.8852459016393442,918,17,61,78
321,0.8852459016393442,918,17,61,78
322,0.8852459016393442,918,17,61,78
323,0.8852459016393442,918,17,61,78
324,0.8852459016393442,918,17,61,78
325,0.8852459016393442,918,17,61,78
326,0.8852459016393442,918,17,61,78
327,0.8852459016393442,918,17,61,78
328,0.8852459016393442,918,17,61,78
329,0.8823529411764706,930,17,62,79
330,0.8852459016393442,918,17,61,78
331,0.8852459016393442,918,17,61,78
332,0.8852459016393442,918,17,61,78
333,0.8852459016393442,918,17,61,78
334,0.8852459016393442,918,17,61,78
335,0.8852459016393442,918,17,61,78
336,0.8852459016393442,918,17,61,78
337,0.8852459016393442,918,17,61,78
338,0.8852459016393442,918,17,61,78
339,0.8872549019607843,905,17,60,77
340,0.8872549019607843,905,17,60,77
341,0.8872549019607843,905,17,60,77
342,0.8872549019607843,905,17,60,77
343,0.8872549019607843,905,17,60,77
344,0.8872549019607843,905,17,60,77
345,0.8872549019607843,905,17,60,77
346,0.8872549019607843,905,17,60,77
347,0.8872549019607843,905,17,60,77
348,0.8873379860418744,890,17,59,76
349,0.8833333333333333,901,17,60,77
350,0.8833333333333333,901,17,60,77
351,0.8833333333333333,901,17,60,77
352,0.8888888888888888,960,18,60,78
353,0.8888888888888888,960,18,60,78
354,0.8888888888888888,960,18,60,78
355,0.8888888888888888,960,18,60,78
356,0.8861566484517304,973,18,61,79
357,0.8861566484517304,973,18,61,79
358,0.8861566484517304,973,18,61,79
359,0.8835125448028673,986,18,62,80
360,0.8835125448028673,986,18,62,80
361,0.8835125448028673,986,18,62,80
362,0.8870673952641166,974,18,61,79
363,0.8810763888888888,1015,18,64,82
364,0.8810763888888888,1015,18,64,82
365,0.8827160493827161,1001,18,63,81
366,0.8827160493827161,1001,18,63,81
367,0.8827160493827161,1001,18,63,81
368,0.8810763888888888,1015,18,64,82
369,0.8742081447963801,966,17,65,82
370,0.8707664884135472,977,17,66,83
371,0.8683055311676909,989,17,67,84
372,0.865916955017301,1001,17,68,85
373,0.8627450980392157,1012,17,69,86
374,0.8588235294117647,1022,17,70,87
375,0.8574979287489644,1035,17,71,88
376,0.8583264291632146,1036,17,71,88
377,0.8583264291632146,1036,17,71,88
378,0.8512323943661971,967,16,71,87
379,0.8498263888888888,979,16,72,88
380,0.8498263888888888,979,16,72,88
381,0.8476027397260274,990,16,73,89
382,0.8421052631578947,1024,16,76,92
383,0.8381410256410257,1046,16,78,94
384,0.8433333333333334,1012,16,75,91
385,0.8441666666666666,1013,16,75,91
386,0.8454391891891891,1001,16,74,90
387,0.8498263888888888,979,16,72,88
388,0.8535714285714285,956,16,70,86
389,0.8512323943661971,967,16,71,87
390,0.852112676056338,968,16,71,87
391,0.8506944444444444,980,16,72,88
392,0.8506944444444444,980,16,72,88
393,0.848458904109589,991,16,73,89
394,0.848458904109589,991,16,73,89
395,0.8498263888888888,979,16,72,88
396,0.8498263888888888,979,16,72,88
397,0.8512323943661971,967,16,71,87
398,0.8512323943661971,967,16,71,87
399,0.852112676056338,968,16,71,87
