hr,Density,Links,B,V,Size
791,0.8479017390868084,185905,233,941,1174
792,0.8513349799494746,181302,233,914,1147
793,0.8541439411621803,179313,233,901,1134
794,0.8556282905353005,177631,233,891,1124
795,0.8573629695876814,176393,233,883,1116
796,0.8589765751171738,173923,233,869,1102
797,0.8605402676091896,170430,233,850,1083
798,0.8611482594025183,167421,232,838,1070
799,0.86118930330753,166430,232,833,1065
800,0.8631952338848891,164014,232,819,1051
801,0.8627531472359059,163930,232,819,1051
802,0.8615295177441655,164497,232,823,1055
803,0.8560850569736091,174001,238,854,1092
804,0.8459532169075737,185526,241,910,1151
805,0.8351088911088911,208986,250,1001,1251
806,0.8328669950738916,211340,250,1015,1265
807,0.8336119402985075,209445,250,1005,1255
808,0.8352278944233037,206100,249,991,1240
809,0.8373517491113251,201641,248,971,1219
810,0.8409360713293426,199761,249,954,1203
811,0.8439401069518716,197271,250,935,1185
812,0.8469209444101379,193380,249,917,1166
813,0.8477414587154752,192723,249,913,1162
814,0.8496977777777778,191182,250,900,1150
