V_ID,birth,death,persistence
V_0002,17,33,17
V_0003,18,20,3
V_0004,19,20,2
V_0005,19,19,1
V_0006,19,46,28
V_0007,19,266,248
V_0008,20,26,7
V_0009,20,25,6
V_0010,20,23,4
V_0011,20,23,4
V_0012,20,25,6
V_0013,20,20,1
V_0014,20,27,8
V_0015,20,21,2
V_0016,20,26,7
V_0017,20,21,2
V_0018,20,43,24
V_0019,20,20,1
V_0020,20,38,19
V_0021,20,21,2
V_0022,21,814,794
V_0023,21,38,18
V_0024,21,32,12
V_0025,21,26,6
V_0026,21,30,10
V_0027,21,36,16
V_0028,21,34,14
V_0029,21,30,10
V_0031,21,27,7
V_0032,21,39,19
V_0033,21,814,794
V_0035,21,709,689
V_0036,21,24,4
V_0037,21,32,12
V_0038,21,814,794
V_0039,21,29,9
V_0040,21,40,20
V_0042,21,30,10
V_0043,21,23,3
V_0044,21,25,5
V_0045,21,31,11
V_0046,21,39,19
V_0047,21,31,11
V_0048,21,814,794
V_0049,21,116,96
V_0050,21,32,12
V_0051,21,22,2
V_0052,21,23,3
V_0053,21,21,1
V_0054,21,27,7
V_0055,21,814,794
V_0056,21,32,12
V_0057,21,23,3
V_0058,21,21,1
V_0059,21,30,10
V_0060,21,23,3
V_0061,21,23,3
V_0062,21,36,16
V_0063,21,34,14
V_0064,21,22,2
V_0065,21,25,5
V_0066,21,814,794
V_0067,21,30,10
V_0068,21,41,21
V_0069,21,43,23
V_0070,22,26,5
V_0071,22,25,4
V_0072,22,27,6
V_0073,22,27,6
V_0074,22,814,793
V_0075,22,27,6
V_0076,22,33,12
V_0077,22,33,12
V_0078,22,68,47
V_0079,22,35,14
V_0080,22,23,2
V_0082,22,41,20
V_0083,22,26,5
V_0084,22,54,33
V_0085,22,25,4
V_0086,22,25,4
V_0087,22,61,40
V_0088,22,27,6
V_0089,22,24,3
V_0090,22,34,13
V_0091,22,25,4
V_0092,22,58,37
V_0093,22,24,3
V_0094,22,22,1
V_0095,22,40,19
V_0096,22,29,8
V_0097,22,26,5
V_0098,22,26,5
V_0099,22,814,793
V_0100,22,24,3
V_0101,22,814,793
V_0102,22,30,9
V_0103,22,30,9
V_0105,22,23,2
V_0107,22,814,793
V_0108,22,814,793
V_0109,22,22,1
V_0110,22,24,3
V_0111,22,22,1
V_0112,22,24,3
V_0113,22,27,6
V_0114,22,24,3
V_0115,22,53,32
V_0116,22,27,6
V_0117,22,36,15
V_0118,22,31,10
V_0119,22,22,1
V_0120,22,43,22
V_0121,22,46,25
V_0122,22,31,10
V_0123,22,25,4
V_0124,22,23,2
V_0125,22,29,8
V_0126,22,25,4
V_0127,22,24,3
V_0128,22,27,6
V_0129,22,23,2
V_0130,22,22,1
V_0131,22,30,9
V_0132,22,31,10
V_0133,22,814,793
V_0135,22,47,26
V_0136,22,22,1
V_0137,22,25,4
V_0138,22,33,12
V_0139,22,36,15
V_0140,22,25,4
V_0141,22,47,26
V_0142,22,814,793
V_0143,22,30,9
V_0144,22,27,6
V_0145,22,34,13
V_0147,22,22,1
V_0148,22,22,1
V_0149,22,24,3
V_0150,22,22,1
V_0151,22,22,1
V_0152,22,22,1
V_0153,22,33,12
V_0154,22,33,12
V_0155,22,814,793
V_0156,22,47,26
V_0157,22,33,12
V_0158,22,33,12
V_0159,22,24,3
V_0160,22,55,34
V_0161,22,33,12
V_0162,22,33,12
V_0163,22,24,3
V_0164,22,26,5
V_0165,22,24,3
V_0166,22,22,1
V_0167,22,23,2
V_0168,22,22,1
V_0170,23,26,4
V_0171,23,30,8
V_0172,23,27,5
V_0173,23,26,4
V_0174,23,36,14
V_0175,23,25,3
V_0176,23,35,13
V_0180,23,25,3
V_0181,23,24,2
V_0182,23,53,31
V_0183,23,32,10
V_0184,23,24,2
V_0185,23,28,6
V_0186,23,24,2
V_0187,23,24,2
V_0188,23,37,15
V_0189,23,27,5
V_0190,23,814,792
V_0191,23,25,3
V_0193,23,25,3
V_0195,23,28,6
V_0196,23,59,37
V_0198,23,29,7
V_0200,23,23,1
V_0202,23,33,11
V_0203,23,814,792
V_0205,23,31,9
V_0206,23,24,2
V_0207,23,24,2
V_0208,23,30,8
V_0209,23,37,15
V_0210,23,27,5
V_0211,23,32,10
V_0212,23,109,87
V_0213,23,25,3
V_0214,23,31,9
V_0215,23,25,3
V_0216,23,30,8
V_0217,23,28,6
V_0218,23,24,2
V_0219,23,23,1
V_0220,23,26,4
V_0221,23,23,1
V_0222,23,25,3
V_0223,23,31,9
V_0224,23,41,19
V_0225,23,27,5
V_0226,23,27,5
V_0227,23,23,1
V_0228,23,27,5
V_0229,23,29,7
V_0230,23,55,33
V_0231,23,28,6
V_0233,23,32,10
V_0234,23,42,20
V_0235,23,27,5
V_0236,23,33,11
V_0237,23,25,3
V_0238,23,36,14
V_0239,23,42,20
V_0240,23,24,2
V_0241,23,34,12
V_0242,23,25,3
V_0243,23,23,1
V_0244,23,26,4
V_0245,23,23,1
V_0246,23,27,5
V_0247,23,30,8
V_0248,23,33,11
V_0249,23,245,223
V_0250,23,23,1
V_0251,23,45,23
V_0252,23,23,1
V_0253,23,32,10
V_0254,23,268,246
V_0255,23,26,4
V_0256,23,58,36
V_0257,23,52,30
V_0258,23,36,14
V_0259,23,28,6
V_0260,23,59,37
V_0261,23,25,3
V_0262,23,31,9
V_0263,23,27,5
V_0264,23,31,9
V_0265,23,33,11
V_0266,23,23,1
V_0267,23,37,15
V_0268,23,42,20
V_0269,23,45,23
V_0270,23,27,5
V_0271,23,23,1
V_0272,23,31,9
V_0273,23,29,7
V_0274,23,26,4
V_0275,23,28,6
V_0276,23,32,10
V_0277,23,31,9
V_0278,23,39,17
V_0279,23,35,13
V_0280,23,814,792
V_0281,23,35,13
V_0282,23,34,12
V_0283,23,30,8
V_0284,23,24,2
V_0285,23,25,3
V_0286,23,27,5
V_0287,23,38,16
V_0288,23,814,792
V_0289,23,25,3
V_0290,23,34,12
V_0291,23,34,12
V_0292,23,33,11
V_0293,23,30,8
V_0294,23,31,9
V_0295,23,28,6
V_0296,23,23,1
V_0297,23,25,3
V_0298,23,45,23
V_0299,23,23,1
V_0300,24,27,4
V_0302,24,25,2
V_0303,24,27,4
V_0304,24,26,3
V_0305,24,56,33
V_0306,24,24,1
V_0307,24,26,3
V_0308,24,28,5
V_0309,24,27,4
V_0310,24,25,2
V_0311,24,37,14
V_0312,24,25,2
V_0313,24,28,5
V_0314,24,26,3
V_0315,24,25,2
V_0316,24,32,9
V_0318,24,27,4
V_0319,24,26,3
V_0320,24,26,3
V_0321,24,36,13
V_0322,24,29,6
V_0323,24,37,14
V_0324,24,30,7
V_0325,24,36,13
V_0326,24,814,791
V_0327,24,814,791
V_0329,24,27,4
V_0331,24,54,31
V_0332,24,32,9
V_0333,24,35,12
V_0334,24,28,5
V_0335,24,29,6
V_0336,24,27,4
V_0337,24,32,9
V_0338,24,25,2
V_0339,24,814,791
V_0340,24,28,5
V_0341,24,32,9
V_0342,24,42,19
V_0343,24,24,1
V_0344,24,31,8
V_0345,24,33,10
V_0346,24,814,791
V_0347,24,814,791
V_0348,24,36,13
V_0349,24,40,17
