hr,regime_type
568,BDR
569,BDR
570,BDR
571,BDR
572,BDR
573,BDR
574,BDR
575,BDR
576,BDR
577,BDR
578,BDR
579,BDR
580,BDR
581,BDR
582,BDR
583,VDR
584,VDR
585,VDR
586,VDR
587,VDR
588,VDR
589,VDR
590,VDR
591,VDR
592,VDR
593,VDR
594,VDR
595,VDR
596,VDR
597,VDR
598,VDR
599,VDR
600,VDR
601,VDR
602,VDR
603,VDR
604,VDR
605,VDR
606,VDR
607,VDR
608,VDR
609,VDR
610,VDR
611,VDR
612,VDR
613,VDR
614,VDR
615,VDR
616,VDR
617,VDR
618,VDR
619,VDR
620,VDR
621,VDR
622,VDR
623,VDR
624,VDR
625,VDR
626,VDR
627,VDR
628,VDR
629,VDR
630,VDR
631,VDR
632,VDR
633,VDR
634,VDR
635,VDR
636,VDR
637,VDR
638,VDR
639,VDR
640,VDR
641,VDR
642,VDR
643,VDR
644,VDR
645,VDR
646,VDR
647,VDR
648,VDR
649,VDR
650,VDR
651,VDR
652,VDR
653,VDR
654,VDR
655,VDR
656,VDR
657,VDR
658,VDR
659,VDR
660,VDR
661,VDR
662,VDR
663,VDR
664,VDR
665,VDR
666,VDR
667,VDR
668,VDR
669,VDR
670,VDR
671,VDR
672,VDR
673,VDR
674,VDR
675,VDR
676,VDR
677,VDR
678,VDR
679,VDR
680,VDR
681,VDR
682,VDR
683,VDR
684,VDR
685,VDR
686,VDR
687,VDR
688,VDR
689,VDR
690,VDR
691,VDR
692,VDR
693,VDR
694,VDR
695,VDR
696,VDR
697,VDR
698,VDR
699,VDR
700,VDR
701,VDR
702,VDR
703,VDR
704,VDR
705,VDR
706,VDR
707,VDR
708,VDR
709,VDR
710,VDR
711,VDR
712,VDR
713,VDR
714,VDR
715,VDR
716,VDR
717,VDR
718,VDR
719,VDR
720,VDR
721,VDR
722,VDR
723,VDR
724,VDR
725,VDR
726,VDR
727,VDR
728,VDR
729,VDR
730,VDR
731,VDR
732,VDR
733,VDR
734,VDR
735,VDR
736,VDR
737,VDR
738,VDR
739,VDR
740,VDR
741,VDR
742,VDR
743,VDR
744,VDR
745,VDR
746,VDR
747,VDR
748,VDR
749,VDR
750,VDR
751,VDR
752,VDR
753,VDR
754,VDR
755,VDR
756,VDR
757,VDR
758,VDR
759,VDR
760,VDR
761,VDR
762,VDR
763,VDR
764,VDR
765,VDR
766,VDR
767,VDR
768,VDR
769,VDR
770,VDR
771,VDR
772,VDR
773,VDR
774,VDR
775,VDR
776,VDR
777,VDR
778,VDR
779,VDR
780,VDR
781,VDR
782,VDR
783,VDR
784,VDR
785,VDR
786,VDR
787,VDR
788,VDR
789,VDR
790,VDR
791,VDR
792,VDR
793,VDR
794,VDR
795,VDR
796,VDR
797,VDR
798,VDR
799,VDR
800,VDR
801,VDR
802,VDR
803,VDR
804,VDR
805,VDR
806,VDR
807,VDR
808,VDR
809,VDR
810,VDR
811,VDR
812,VDR
813,VDR
814,VDR
815,VDR
816,VDR
817,VDR
818,VDR
819,VDR
820,VDR
821,VDR
822,VDR
823,VDR
824,VDR
825,VDR
826,VDR
827,VDR
828,VDR
829,VDR
830,VDR
831,VDR
832,VDR
833,VDR
834,VDR
835,VDR
836,VDR
837,VDR
838,VDR
839,VDR
840,VDR
841,VDR
842,VDR
843,VDR
844,VDR
845,VDR
846,VDR
847,VDR
848,VDR
849,BDR
850,BDR
851,BDR
852,BDR
853,BDR
854,BDR
855,BDR
856,BDR
857,BDR
858,BDR
859,BDR
860,BDR
861,BDR
862,BDR
863,BDR
864,BDR
865,BDR
866,BDR
867,BDR
868,BDR
869,BDR
870,BDR
871,BDR
872,BDR
873,BDR
874,BDR
875,BDR
876,BDR
877,BDR
878,BDR
879,BDR
880,BDR
881,BDR
882,BDR
883,BDR
884,BDR
885,BDR
886,BDR
887,BDR
888,BDR
889,BDR
890,BDR
891,BDR
892,BDR
893,BDR
894,BDR
895,BDR
896,BDR
897,BDR
898,BDR
899,BDR
900,BDR
901,BDR
902,BDR
903,BDR
904,BDR
905,BDR
906,BDR
907,BDR
908,BDR
909,BDR
910,BDR
911,BDR
912,BDR
913,BDR
914,BDR
915,BDR
916,BDR
917,BDR
918,BDR
919,BDR
920,BDR
921,BDR
922,BDR
923,BDR
924,BDR
925,BDR
926,BDR
927,BDR
928,BDR
929,BDR
930,BDR
931,BDR
932,BDR
933,BDR
934,BDR
935,BDR
936,BDR
937,BDR
938,BDR
939,BDR
940,BDR
941,BDR
942,BDR
943,BDR
944,BDR
945,BDR
946,BDR
947,BDR
948,BDR
949,BDR
950,BDR
951,BDR
952,BDR
953,BDR
954,BDR
955,BDR
956,BDR
957,BDR
958,BDR
959,BDR
960,BDR
961,BDR
962,BDR
963,BDR
964,BDR
965,BDR
966,BDR
967,BDR
968,BDR
969,BDR
970,BDR
971,BDR
972,BDR
973,BDR
974,BDR
975,BDR
976,BDR
977,BDR
978,BDR
979,BDR
980,BDR
981,BDR
982,BDR
983,BDR
984,BDR
985,BDR
986,BDR
987,BDR
988,BDR
989,BDR
990,BDR
991,BDR
992,BDR
993,BDR
994,BDR
995,BDR
996,BDR
997,BDR
998,BDR
999,BDR
1000,VDR
1000,BDR
1001,VDR
