type,n,hr,node_type
1,1,1,viruses
2,1,1,bacteria
3,16,1,spacers
1,1,2,viruses
2,1,2,bacteria
3,16,2,spacers
1,1,3,viruses
2,1,3,bacteria
3,16,3,spacers
1,1,4,viruses
2,1,4,bacteria
3,16,4,spacers
1,1,5,viruses
2,1,5,bacteria
3,16,5,spacers
1,1,6,viruses
2,1,6,bacteria
3,16,6,spacers
1,1,7,viruses
2,1,7,bacteria
3,16,7,spacers
1,1,8,viruses
2,1,8,bacteria
3,16,8,spacers
1,1,9,viruses
2,1,9,bacteria
3,16,9,spacers
1,1,10,viruses
2,1,10,bacteria
3,16,10,spacers
1,1,11,viruses
2,1,11,bacteria
3,16,11,spacers
1,1,12,viruses
2,1,12,bacteria
3,16,12,spacers
1,1,13,viruses
2,1,13,bacteria
3,16,13,spacers
1,1,14,viruses
2,1,14,bacteria
3,16,14,spacers
1,1,15,viruses
2,1,15,bacteria
3,16,15,spacers
1,1,16,viruses
2,1,16,bacteria
3,16,16,spacers
1,2,17,viruses
2,1,17,bacteria
3,17,17,spacers
1,3,18,viruses
2,1,18,bacteria
3,18,18,spacers
1,7,19,viruses
2,1,19,bacteria
3,22,19,spacers
1,20,20,viruses
2,2,20,bacteria
3,35,20,spacers
1,61,21,viruses
2,6,21,bacteria
3,76,21,spacers
1,150,22,viruses
2,11,22,bacteria
3,165,22,spacers
1,255,23,viruses
2,13,23,bacteria
3,270,23,spacers
1,291,24,viruses
2,15,24,bacteria
3,306,24,spacers
1,286,25,viruses
2,15,25,bacteria
3,301,25,spacers
1,260,26,viruses
2,15,26,bacteria
3,275,26,spacers
1,242,27,viruses
2,15,27,bacteria
3,257,27,spacers
1,211,28,viruses
2,15,28,bacteria
3,226,28,spacers
1,198,29,viruses
2,15,29,bacteria
3,213,29,spacers
1,188,30,viruses
2,15,30,bacteria
3,203,30,spacers
1,169,31,viruses
2,15,31,bacteria
3,184,31,spacers
1,151,32,viruses
2,15,32,bacteria
3,166,32,spacers
1,138,33,viruses
2,15,33,bacteria
3,153,33,spacers
1,120,34,viruses
2,15,34,bacteria
3,135,34,spacers
1,111,35,viruses
2,15,35,bacteria
3,126,35,spacers
1,103,36,viruses
2,15,36,bacteria
3,118,36,spacers
1,91,37,viruses
2,15,37,bacteria
3,106,37,spacers
1,84,38,viruses
2,15,38,bacteria
3,99,38,spacers
1,81,39,viruses
2,15,39,bacteria
3,96,39,spacers
1,75,40,viruses
2,15,40,bacteria
3,90,40,spacers
1,72,41,viruses
2,15,41,bacteria
3,87,41,spacers
1,67,42,viruses
2,15,42,bacteria
3,82,42,spacers
1,63,43,viruses
2,15,43,bacteria
3,78,43,spacers
1,59,44,viruses
2,15,44,bacteria
3,74,44,spacers
1,57,45,viruses
2,15,45,bacteria
3,72,45,spacers
1,54,46,viruses
2,15,46,bacteria
3,69,46,spacers
1,52,47,viruses
2,15,47,bacteria
3,67,47,spacers
1,48,48,viruses
2,15,48,bacteria
3,63,48,spacers
1,48,49,viruses
2,15,49,bacteria
3,63,49,spacers
1,48,50,viruses
2,15,50,bacteria
3,63,50,spacers
1,48,51,viruses
2,15,51,bacteria
3,63,51,spacers
1,48,52,viruses
2,15,52,bacteria
3,63,52,spacers
1,47,53,viruses
2,15,53,bacteria
3,62,53,spacers
1,45,54,viruses
2,15,54,bacteria
3,60,54,spacers
1,43,55,viruses
2,15,55,bacteria
3,58,55,spacers
1,40,56,viruses
2,15,56,bacteria
3,55,56,spacers
1,39,57,viruses
2,15,57,bacteria
3,54,57,spacers
1,39,58,viruses
2,15,58,bacteria
3,54,58,spacers
1,37,59,viruses
2,15,59,bacteria
3,52,59,spacers
1,35,60,viruses
2,15,60,bacteria
3,50,60,spacers
1,35,61,viruses
2,15,61,bacteria
3,50,61,spacers
1,34,62,viruses
2,15,62,bacteria
3,49,62,spacers
1,34,63,viruses
2,15,63,bacteria
3,49,63,spacers
1,34,64,viruses
2,15,64,bacteria
3,49,64,spacers
1,34,65,viruses
2,15,65,bacteria
3,49,65,spacers
1,34,66,viruses
2,15,66,bacteria
3,49,66,spacers
1,34,67,viruses
2,15,67,bacteria
3,49,67,spacers
1,34,68,viruses
2,15,68,bacteria
3,49,68,spacers
1,33,69,viruses
2,15,69,bacteria
3,48,69,spacers
1,33,70,viruses
2,15,70,bacteria
3,48,70,spacers
1,32,71,viruses
2,15,71,bacteria
3,47,71,spacers
1,32,72,viruses
2,15,72,bacteria
3,47,72,spacers
1,32,73,viruses
2,15,73,bacteria
3,47,73,spacers
1,32,74,viruses
2,15,74,bacteria
3,47,74,spacers
1,32,75,viruses
2,15,75,bacteria
3,47,75,spacers
1,32,76,viruses
2,15,76,bacteria
3,47,76,spacers
1,32,77,viruses
2,15,77,bacteria
3,47,77,spacers
1,32,78,viruses
2,15,78,bacteria
3,47,78,spacers
1,33,79,viruses
2,15,79,bacteria
3,48,79,spacers
1,33,80,viruses
2,15,80,bacteria
3,48,80,spacers
1,33,81,viruses
2,15,81,bacteria
3,48,81,spacers
1,33,82,viruses
2,15,82,bacteria
3,48,82,spacers
1,34,83,viruses
2,15,83,bacteria
3,49,83,spacers
1,34,84,viruses
2,15,84,bacteria
3,49,84,spacers
1,33,85,viruses
2,15,85,bacteria
3,48,85,spacers
1,33,86,viruses
2,15,86,bacteria
3,48,86,spacers
1,33,87,viruses
2,15,87,bacteria
3,48,87,spacers
1,33,88,viruses
2,15,88,bacteria
3,48,88,spacers
1,34,89,viruses
2,15,89,bacteria
3,49,89,spacers
1,35,90,viruses
2,15,90,bacteria
3,50,90,spacers
1,34,91,viruses
2,15,91,bacteria
3,49,91,spacers
1,34,92,viruses
2,15,92,bacteria
3,49,92,spacers
1,34,93,viruses
2,15,93,bacteria
3,49,93,spacers
1,34,94,viruses
2,16,94,bacteria
3,49,94,spacers
1,34,95,viruses
2,16,95,bacteria
3,49,95,spacers
1,35,96,viruses
2,16,96,bacteria
3,50,96,spacers
1,36,97,viruses
2,16,97,bacteria
3,51,97,spacers
1,37,98,viruses
2,16,98,bacteria
3,52,98,spacers
1,38,99,viruses
2,16,99,bacteria
3,53,99,spacers
1,38,100,viruses
2,16,100,bacteria
3,53,100,spacers
1,39,101,viruses
2,16,101,bacteria
3,54,101,spacers
1,38,102,viruses
2,15,102,bacteria
3,53,102,spacers
1,39,103,viruses
2,15,103,bacteria
3,54,103,spacers
1,40,104,viruses
2,15,104,bacteria
3,55,104,spacers
1,41,105,viruses
2,15,105,bacteria
3,56,105,spacers
1,39,106,viruses
2,15,106,bacteria
3,54,106,spacers
1,38,107,viruses
2,15,107,bacteria
3,53,107,spacers
1,39,108,viruses
2,15,108,bacteria
3,54,108,spacers
1,43,109,viruses
2,15,109,bacteria
3,58,109,spacers
1,42,110,viruses
2,15,110,bacteria
3,57,110,spacers
1,45,111,viruses
2,15,111,bacteria
3,60,111,spacers
1,47,112,viruses
2,15,112,bacteria
3,62,112,spacers
1,48,113,viruses
2,15,113,bacteria
3,63,113,spacers
1,46,114,viruses
2,15,114,bacteria
3,61,114,spacers
1,47,115,viruses
