timesOfRecord time Db Dp Bdensity Pdensity effDb effDp PDI
1 1 1 1 191490 173669 2.31716 2.48317 0
2 1.73322 1 2 250233 340644 3.11608 2.27957 0
3 2.48503 2 3 277823 794942 3.71556 2.29792 0
4 3.03091 3 4 279543 1.53755e+06 3.99239 2.52976 3.86667e-13
5 4.12672 4 7 238108 5.36718e+06 4.18274 3.36761 1.9436e-12
6 5.00588 5 19 158380 1.15629e+07 4.30896 3.69602 1.32646e-11
7 6.00297 5 28 65749.3 1.79611e+07 4.07345 3.98376 2.63582e-10
8 7.07106 7 32 19816 1.99472e+07 5.68624 3.97595 2.14167e-08
9 8.43747 8 38 4830.36 1.87101e+07 8.54771 4.17753 4.80063e-06
10 9.43747 8 30 2079.4 1.72026e+07 11.3722 4.35823 0.000169503
11 10.4375 8 25 1116.21 1.56749e+07 9.47221 4.39935 0.00391052
12 11.0857 8 25 875.18 1.47286e+07 7.38941 4.26113 0.0218867
13 12.0857 8 22 855.249 1.33596e+07 11.5761 4.42039 0.153415
14 13.0857 8 20 1334.64 1.21065e+07 14.5881 4.42476 0.421749
15 14.0857 8 19 2824.5 1.09651e+07 12.1442 4.4272 0.628677
16 15.0857 8 18 6769.53 9.92714e+06 10.3483 4.42918 0.724437
17 16.0857 8 16 16783.7 8.98152e+06 9.71463 4.43223 0.762573
18 17.0857 8 14 41068.6 8.11404e+06 9.60849 4.43908 0.777836
19 18.0857 8 14 94203.7 7.30524e+06 9.90446 4.45512 0.784284
20 19.0857 8 13 185335 6.53214e+06 10.8876 4.48743 0.787193
21 20.0857 8 11 277790 5.7849e+06 13.2789 4.53338 0.78859
22 21.0857 8 10 313325 5.085e+06 16.9889 4.56951 0.789295
23 22.5827 13 9 315817 4.17606e+06 19.0336 4.38792 0.789778
24 23.5827 13 8 316198 3.65943e+06 19.0546 4.58464 0.789933
25 24.5691 14 8 316210 3.21206e+06 19.0746 4.57653 0.790025
26 25.4269 15 8 316216 2.86762e+06 19.0738 4.49489 0.790076
27 26.2202 17 8 316219 2.58205e+06 19.0732 4.29163 0.79011
28 27.0343 18 7 316222 2.31847e+06 19.0726 4.4677 0.790135
29 28.9171 20 7 316225 1.80714e+06 19.0718 4.5863 0.790171
30 29.9171 20 7 316226 1.58303e+06 19.0716 4.58637 0.790182
31 30.9171 20 6 316226 1.38669e+06 19.0714 4.58644 0.790191
32 31.9171 20 6 316227 1.21469e+06 19.0712 4.58649 0.790197
33 32.9022 21 6 316227 1.06614e+06 19.0711 4.57687 0.790201
34 33.9022 21 6 316227 933892 19.0711 4.58659 0.790203
35 34.1657 22 6 316227 901892 19.071 4.1433 0.790204
36 35.0073 22 6 316227 806810 19.071 4.48547 0.790204
37 36.0073 22 5 316227 706732 19.0709 4.58676 0.790203
38 37.3054 22 5 316227 595104 19.0709 4.58693 0.790198
39 38.3054 22 5 316227 521292 19.0709 4.58713 0.79019
40 39.0538 23 5 316227 472130 19.0708 4.42828 0.79018
41 40.0538 23 5 316227 413581 19.0708 4.58775 0.790161
42 41.0538 23 5 316227 362302 19.0708 4.58835 0.790131
43 42.0538 23 5 316227 317394 19.0708 4.58927 0.790085
