timesOfRecord time Db Dp Bdensity Pdensity effDb effDp PDI
44 43.0538 23 4 316227 278070 19.0709 4.59066 0.790014
45 44.0538 23 4 316226 243641 19.0709 4.59276 0.789906
46 45.0538 23 4 316226 213506 19.071 4.59596 0.789741
47 46.0538 23 4 316225 187139 19.0711 4.60083 0.789488
48 47.0538 23 4 316224 164085 19.0712 4.60825 0.789102
49 48.0538 23 4 316223 143945 19.0713 4.61957 0.788513
50 49.0538 23 4 316222 126377 19.0716 4.63685 0.787615
51 50.0538 23 4 316220 111087 19.0719 4.66324 0.786248
52 51.0538 23 4 316217 97826.5 19.0723 4.70353 0.784172
53 52.0538 23 4 316213 86388.1 19.0729 4.76505 0.781034
54 53.0538 23 4 316208 76607.3 19.0737 4.85882 0.776319
55 54.0538 23 4 316201 68360.1 19.0747 5.00129 0.769309
56 55.0538 23 4 316192 61566.6 19.0762 5.21624 0.759045
57 56.0538 23 4 316180 56194.4 19.0781 5.53563 0.74435
58 57.0538 23 4 316163 52265.8 19.0807 5.99472 0.723982
59 58.0538 23 4 316141 49868.2 19.0842 6.60761 0.696983
60 59.0538 23 4 316112 49168.6 19.0889 7.29807 0.663243
61 60.0538 23 4 316072 50433.4 19.0952 7.79999 0.624065
62 61.0538 23 4 316019 54054.9 19.1036 7.73297 0.582291
63 62.5423 24 4 315905 65053.1 19.1221 6.5486 0.523278
64 63.5423 24 4 315796 77383.4 19.1388 5.58434 0.490287
65 64.5423 24 4 315652 94984 19.1614 4.80941 0.464446
66 65.5423 24 4 315462 119344 19.191 4.26196 0.445738
67 66.5423 24 4 315215 152343 19.2293 3.89685 0.433345
68 67.5423 24 4 314895 196281 19.2779 3.66063 0.426208
69 68.5423 24 4 314489 253852 19.3383 3.51228 0.423386
70 69.5423 24 4 313983 328012 19.411 3.42413 0.424207
71 70.5423 24 4 313369 421690 19.4946 3.37861 0.428286
72 71.5423 24 4 312649 537255 19.5841 3.36498 0.43547
73 72.1287 24 5 312278 615712 19.6104 3.68526 0.441123
74 73.1719 24 5 311317 774330 19.7205 3.396 0.453841
75 74.1719 24 5 310484 946008 19.7549 3.44352 0.469211
76 75.379 24 7 309720 1.16895e+06 19.708 3.72485 0.491639
77 76.379 24 7 309104 1.35416e+06 19.6165 3.61629 0.512827
78 77.2267 24 7 308909 1.50136e+06 19.4365 3.77893 0.53197
79 78.2267 24 7 308915 1.6528e+06 19.1696 3.82616 0.554949
80 79.9147 24 8 309556 1.83035e+06 18.5941 4.0632 0.591359
81 80.4954 25 8 309824 1.86624e+06 18.4068 4.2328 0.602354
82 81.4954 25 8 310502 1.89955e+06 18.0479 4.32993 0.618628
83 82.1503 26 8 310795 1.90434e+06 17.8693 4.4828 0.627165
84 83.1503 26 8 311400 1.89216e+06 17.5679 4.68871 0.63658
85 84.7207 27 8 311878 1.84758e+06 17.2309 5.17642 0.641621
86 85.7207 27 7 311929 1.81897e+06 17.0727 5.61477 0.638279
87 86.7207 27 7 311767 1.80166e+06 16.9445 6.19816 0.629919
88 87.7207 27 7 311400 1.80369e+06 16.8395 6.96043 0.617208
89 88.2295 28 7 311196 1.81425e+06 16.7768 7.43598 0.609485
90 89.2295 28 7 310517 1.85568e+06 16.6969 8.43594 0.593146
91 90.2295 28 7 309796 1.92498e+06 16.5789 9.49262 0.577303
92 91.383 28 8 308974 2.03448e+06 16.3979 10.5181 0.562826
93 92.3179 27 9 308501 2.13725e+06 16.1787 11.1857 0.555897
94 93.3687 27 10 308093 2.25315e+06 15.8856 11.3208 0.553998
95 94.3309 28 13 308113 2.34493e+06 15.5393 11.632 0.557322
96 95.3309 27 13 308456 2.4122e+06 15.1478 11.3265 0.564699
97 96.1673 29 13 308938 2.43921e+06 14.816 11.3285 0.572833
98 97.5844 31 14 310031 2.41758e+06 14.2832 11.205 0.588147
99 98.2969 31 16 310627 2.37626e+06 14.0483 11.1091 0.595729
100 99.2969 31 16 311740 2.28939e+06 13.718 11.2133 0.605606
101 100.824 33 16 312942 2.10827e+06 13.3586 11.2352 0.618328
102 101.248 33 13 313144 2.05104e+06 13.3032 10.8557 0.621321
103 102.444 33 14 313886 1.8809e+06 13.082 11.2088 0.628607
104 103.023 34 14 314098 1.79637e+06 13.0188 10.7795 0.631565
105 104.023 34 12 314586 1.65039e+06 12.8848 11.2996 0.635946
106 105.023 34 11 314903 1.50781e+06 12.7938 11.3177 0.639525
107 106.023 34 11 315152 1.37126e+06 12.7165 11.3344 0.642448
108 107.023 34 10 315349 1.24242e+06 12.653 11.3496 0.644841
109 108.217 34 10 315532 1.09992e+06 12.5908 11.3665 0.647146
110 109.156 35 10 315642 996950 12.5521 11.304 0.648622
111 110.156 35 10 315742 896119 12.5159 11.3915 0.649932
112 111.156 35 10 315820 804115 12.4861 11.4038 0.65102
113 112.156 35 9 315884 720532 12.4608 11.4161 0.651924
114 113.759 35 8 315962 602934 12.4277 11.4365 0.653044
115 114.765 35 8 316000 538461 12.4112 11.4511 0.653548
116 115.765 35 8 316030 480948 12.397 11.4689 0.653863
117 116.765 35 8 316054 429464 12.385 11.4935 0.653908
118 117.765 35 8 316070 383593 12.3748 11.5323 0.653486
119 118.765 35 8 316078 343043 12.3665 11.5997 0.652183
120 119.765 35 8 316074 307731 12.3603 11.7247 0.649159
121 120.765 35 8 316051 277924 12.3566 11.9619 0.642756
122 121.765 35 8 315994 254503 12.3565 12.4026 0.629886
123 122.765 35 8 315879 239428 12.3622 13.1331 0.605392
124 123.765 35 8 315661 236573 12.3778 13.8953 0.562537
125 124.563 35 8 315385 247732 12.3987 13.5886 0.512077
126 125.937 35 9 314353 315522 12.4911 9.00259 0.400971
127 126.937 35 9 312924 432476 12.6158 5.74707 0.324114
128 127.937 35 9 310482 649432 12.8394 4.05092 0.269959
129 128.937 35 9 306531 1.02286e+06 13.2113 3.29498 0.243161
130 129.561 35 10 303660 1.36406e+06 13.4397 3.53804 0.239378
131 130.092 36 11 300938 1.73112e+06 13.6409 4.08123 0.243468
132 131.124 35 13 292801 2.63719e+06 14.5318 3.10642 0.27031
133 132.158 35 15 286133 3.68529e+06 14.8115 3.14571 0.321595
134 133.158 35 15 284491 4.59596e+06 14.1641 3.33714 0.3882
135 134.158 35 15 288901 5.18127e+06 12.9091 3.63855 0.456914
136 135.238 36 17 296468 5.3633e+06 11.8203 4.01085 0.51667
137 136.296 38 17 304191 5.18595e+06 11.1272 4.19607 0.555339
138 137.296 38 17 309767 4.83244e+06 10.773 4.36591 0.577439
139 138.727 39 15 313352 4.2074e+06 10.5837 4.50076 0.594291
140 139.727 39 15 314545 3.76417e+06 10.524 4.55249 0.600486
141 140.058 40 15 314709 3.62241e+06 10.5332 4.22078 0.601935
142 141.058 40 15 315346 3.21449e+06 10.4611 4.59271 0.605147
143 142.058 40 15 315652 2.84283e+06 10.4364 4.612 0.60711
144 143.058 40 15 315820 2.50939e+06 10.4181 4.62815 0.60818
145 144.058 40 15 315893 2.21391e+06 10.4074 4.64734 0.608358
146 145.082 41 15 315873 1.95014e+06 10.4044 4.68128 0.607105
147 146.082 41 15 315723 1.73215e+06 10.4122 4.75179 0.603029
148 147.082 41 14 315340 1.55941e+06 10.439 4.91146 0.592754
149 148.43 42 15 314163 1.42988e+06 10.5253 5.30765 0.556494
150 149.43 42 15 311758 1.46426e+06 10.7274 6.31024 0.500227
151 150.419 42 16 308031 1.70169e+06 11.0284 7.20157 0.419544
152 151.672 42 18 297042 2.50576e+06 12.1536 5.48108 0.324431
153 152.458 43 20 288267 3.41394e+06 13.1248 5.00657 0.297596
154 153.048 44 20 280728 4.29791e+06 14.1254 4.93498 0.301267
155 154.464 45 23 266247 6.58607e+06 16.7937 4.11471 0.393303
156 155.285 46 23 268050 7.49244e+06 16.171 4.05446 0.478018
157 156.043 47 25 275828 7.84928e+06 15.1912 4.50511 0.549327
158 157.564 49 29 297916 7.47021e+06 13.1131 4.61219 0.634036
159 158.926 48 23 311101 6.5804e+06 12.5785 4.88037 0.662729
160 159.926 48 23 313922 5.87115e+06 12.6919 4.95515 0.671565
161 160.021 48 23 313998 5.80514e+06 12.7925 4.45649 0.672124
162 161.439 50 23 315362 4.87309e+06 12.6519 4.96226 0.677378
163 162.244 51 23 315680 4.39875e+06 12.6477 4.88807 0.678831
164 163.964 52 22 316017 3.5219e+06 12.6211 5.0318 0.680324
165 164.403 54 21 316040 3.32658e+06 12.6223 4.65541 0.680492
166 165.403 54 21 316096 2.92009e+06 12.6133 5.04138 0.680639
167 166.403 54 21 316111 2.56336e+06 12.6101 5.05045 0.680442
168 167.062 54 20 316106 2.35325e+06 12.6088 4.82747 0.680069
169 168.062 54 20 316078 2.06841e+06 12.6079 5.0802 0.678947
170 169.645 55 18 315963 1.6948e+06 12.6104 5.1301 0.674602
171 170.645 54 17 315815 1.50412e+06 12.6147 5.25152 0.668648
172 171.734 55 17 315545 1.3365e+06 12.6239 5.45547 0.656646
173 172.323 55 17 315366 1.26438e+06 12.6247 5.39345 0.646384
174 173.323 55 17 314781 1.17607e+06 12.6511 6.14193 0.620008
175 174.866 57 15 313272 1.14858e+06 12.6975 7.73695 0.54945
176 175.866 57 15 311481 1.22977e+06 12.7515 9.4388 0.485205
177 176.147 57 16 311046 1.2714e+06 12.7037 10.4766 0.465764
178 177.033 57 18 308779 1.47004e+06 12.7784 11.4657 0.405584
179 178.619 57 18 301449 2.14515e+06 12.9053 9.85487 0.325166
180 179.248 58 17 298511 2.54464e+06 12.7328 10.0182 0.308018
181 180.274 57 19 292904 3.35274e+06 12.4717 9.481 0.297251
182 181.047 57 21 288885 4.06288e+06 12.0003 10.3761 0.299722
183 182.279 58 23 280984 5.31313e+06 11.4632 9.21107 0.31021
184 183.216 58 24 276363 6.35329e+06 10.7162 11.1034 0.31197
185 184.379 58 27 268362 7.83487e+06 10.0556 12.5788 0.294669
186 185.002 57 29 263674 8.70821e+06 9.48186 13.6839 0.275204
187 186.004 57 38 258752 1.00467e+07 8.17177 14.3955 0.23028
188 187.337 58 39 264628 1.1094e+07 6.0809 13.68 0.155471
189 188.144 58 39 274899 1.11288e+07 5.31546 13.8883 0.113865
190 189.259 62 36 290522 1.05867e+07 4.6495 13.9782 0.0717953
191 190.838 61 32 305533 9.36355e+06 4.19716 15.3043 0.0388861
192 191.022 61 33 305487 9.23713e+06 4.30067 14.2673 0.0364193
193 192.095 61 34 299257 8.88932e+06 4.25628 16.1864 0.0250302
194 193.081 63 41 272910 1.01402e+07 4.36618 17.0764 0.0175
195 194.007 62 49 209465 1.43309e+07 4.38731 12.2443 0.013827
196 195.005 62 68 110595 2.10377e+07 4.73036 8.54974 0.0202563
197 196.105 60 73 43270.2 2.46522e+07 7.35049 7.53894 0.0807175
198 197.015 60 75 29030 2.44266e+07 18.5288 7.5152 0.268593
199 198.08 60 77 37034.1 2.29139e+07 16.1552 7.77382 0.505356
200 199.633 59 71 83076.2 2.0671e+07 12.8754 8.5694 0.601352
201 200.046 60 70 100542 2.0228e+07 19.3807 8.43622 0.605937
202 201.395 61 71 164238 1.93957e+07 18.7154 10.0832 0.601257
203 202.204 64 68 193624 1.92938e+07 20.5454 11.3489 0.592578
204 203.043 63 69 216188 1.92797e+07 20.3346 12.8682 0.584665
205 204.124 66 68 239651 1.90533e+07 17.7529 14.7312 0.576669
206 205.071 67 67 259034 1.85236e+07 14.9933 16.4181 0.569045
207 206.054 70 65 272188 1.7743e+07 14.1626 17.7905 0.560487
208 207.135 74 64 279116 1.69187e+07 13.9042 19.7344 0.553363
209 208.114 75 61 276331 1.65724e+07 15.0692 22.1035 0.552773
210 209.002 77 61 266930 1.68231e+07 18.0878 24.0394 0.564716
211 210.043 78 61 252531 1.76351e+07 29.6919 23.1891 0.611598
212 211.024 85 63 249243 1.81675e+07 57.3738 21.3143 0.693541
213 212.127 90 66 263106 1.77429e+07 102.001 19.4102 0.788083
214 213.339 96 63 287235 1.61985e+07 112.968 18.8131 0.848476
215 214.086 97 62 299327 1.49957e+07 114.018 18.2105 0.86622
216 215.102 101 61 308539 1.33241e+07 111.178 18.8157 0.8781
217 216.1 103 60 313270 1.17733e+07 110.359 19.366 0.883364
218 217.221 105 55 314909 1.0203e+07 110.784 18.6386 0.886088
219 218.001 106 53 315497 9.22268e+06 110.47 19.3885 0.887077
220 219.783 109 50 315966 7.30966e+06 110.251 20.0064 0.888161
221 220.401 111 49 316006 6.74221e+06 110.246 18.6996 0.888349
222 221.018 114 49 316039 6.21808e+06 110.2 17.7341 0.888486
223 222.003 119 48 316084 5.46401e+06 110.13 18.0285 0.888636
224 223.008 122 47 316118 4.78883e+06 110.077 18.5063 0.88873
225 224.05 124 45 316142 4.17563e+06 110.04 17.8286 0.888788
226 225.284 125 45 316165 3.55002e+06 109.997 20.102 0.888824
227 226.998 126 44 316180 2.83302e+06 109.963 20.1364 0.888835
228 227.998 126 43 316186 2.48353e+06 109.948 20.1578 0.888828
229 228.271 127 43 316187 2.39578e+06 109.946 18.2504 0.888824
230 229.271 127 42 316192 2.10024e+06 109.931 20.1865 0.888806
231 230.271 127 40 316196 1.84118e+06 109.921 20.2104 0.888781
232 231.271 127 39 316199 1.6141e+06 109.913 20.2355 0.888751
233 232.828 128 39 316203 1.31519e+06 109.902 20.2775 0.888691
234 233.828 128 37 316205 1.15307e+06 109.896 20.3065 0.888647
235 234.828 128 37 316207 1.01098e+06 109.892 20.3372 0.888596
236 235.828 128 36 316209 886433 109.888 20.3699 0.88854
237 236.828 128 35 316211 777269 109.885 20.4046 0.888478
238 237.158 129 35 316211 744287 109.884 18.6242 0.888456
239 238.158 129 34 316212 652678 109.881 20.4544 0.888386
240 239.158 129 34 316213 572380 109.879 20.4948 0.888309
241 240.158 129 34 316214 501996 109.877 20.538 0.888224
242 241.158 129 34 316215 440300 109.876 20.5843 0.888132
243 242.158 129 33 316216 386220 109.875 20.6339 0.888032
244 243.158 129 33 316217 338813 109.874 20.6871 0.887922
245 244.605 130 32 316218 280412 109.873 20.7711 0.887746
246 245.605 130 32 316219 246057 109.872 20.8347 0.887611
247 246.605 130 32 316219 215939 109.872 20.9031 0.887464
248 247.605 130 32 316220 189533 109.872 20.9768 0.887303
249 248.605 130 32 316220 166380 109.872 21.0563 0.887129
250 249.605 130 32 316221 146080 109.872 21.1421 0.88694
251 250.605 130 32 316221 128279 109.872 21.2347 0.886734
252 251.605 130 31 316221 112669 109.872 21.3348 0.886509
253 252.605 130 29 316222 98979.3 109.872 21.4428 0.886266
254 253.605 130 29 316222 86972.9 109.872 21.5596 0.886001
255 254.605 130 29 316222 76442 109.872 21.6859 0.885713
256 255.605 130 29 316223 67204.3 109.873 21.8224 0.8854
257 256.605 130 29 316223 59100.4 109.873 21.97 0.88506
258 257.605 130 29 316223 51990.4 109.873 22.1296 0.884692
259 258.605 130 29 316223 45751.6 109.873 22.3019 0.884291
260 259.605 130 29 316223 40276.7 109.874 22.4881 0.883857
261 260.605 130 29 316224 35471.5 109.874 22.689 0.883387
262 261.605 130 29 316224 31253.4 109.874 22.9057 0.882877
263 262.605 130 28 316224 27550.1 109.875 23.1391 0.882325
264 263.605 130 28 316224 24298.4 109.875 23.3899 0.881728
265 264.605 130 27 316224 21442.5 109.875 23.6595 0.881082
266 265.605 130 27 316225 18933.9 109.876 23.9482 0.880385
267 266.605 130 27 316225 16729.9 109.876 24.2571 0.879632
268 267.605 130 26 316225 14792.8 109.876 24.5864 0.878821
269 268.605 130 26 316225 13090.2 109.877 24.9357 0.877948
270 269.605 130 26 316225 11593.1 109.877 25.3055 0.877008
271 270.605 130 26 316225 10276.3 109.877 25.6946 0.875998
272 271.605 130 25 316225 9117.77 109.878 26.1015 0.874916
273 272.605 130 25 316225 8098.19 109.878 26.5232 0.873756
274 273.605 130 25 316225 7200.51 109.878 26.9574 0.872515
275 274.605 130 24 316226 6409.74 109.879 27.3991 0.871191
276 275.605 130 23 316226 5712.96 109.879 27.8415 0.869781
277 276.605 130 23 316226 5098.79 109.879 28.2778 0.86828
278 277.605 130 23 316226 4557.09 109.879 28.7 0.866687
279 278.605 130 23 316226 4079.07 109.88 29.0967 0.864999
280 279.605 130 23 316226 3657 109.88 29.4557 0.863215
281 280.605 130 23 316226 3284.12 109.88 29.7639 0.861334
282 281.605 130 23 316226 2954.49 109.88 30.0076 0.859355
283 282.605 130 21 316226 2662.69 109.881 30.1733 0.857282
284 283.605 130 21 316226 2404.57 109.881 30.244 0.855108
285 284.605 130 21 316226 2175.91 109.881 30.2182 0.852839
286 285.605 130 21 316226 1973.19 109.881 30.0847 0.850476
287 286.605 130 21 316226 1793.33 109.881 29.8404 0.848022
288 287.605 130 21 316226 1633.61 109.882 29.487 0.84548
289 288.605 130 21 316226 1491.66 109.882 29.031 0.842855
290 289.605 130 21 316227 1365.4 109.882 28.4834 0.84015
291 290.605 130 21 316227 1252.99 109.882 27.859 0.837372
292 291.605 130 21 316227 1152.82 109.882 27.1754 0.834524
293 292.605 130 21 316227 1063.49 109.883 26.4514 0.831612
294 293.605 130 21 316227 983.75 109.883 25.7063 0.828643
295 294.605 130 21 316227 912.518 109.883 24.9584 0.82562
296 295.605 130 21 316227 848.838 109.883 24.2243 0.822551
297 296.605 130 21 316227 791.868 109.883 23.5186 0.81944
298 297.605 130 20 316227 740.778 109.883 22.8531 0.816293
299 298.605 130 20 316227 695.117 109.883 22.2315 0.813113
300 299.605 130 20 316227 654.214 109.884 21.6725 0.809905
301 300.605 130 20 316227 617.57 109.884 21.1752 0.806673
302 301.605 130 20 316227 584.748 109.884 20.7423 0.803421
303 302.605 130 20 316227 555.363 109.884 20.3754 0.800151
304 303.605 130 20 316227 529.076 109.884 20.0744 0.796867
305 304.605 130 20 316227 505.594 109.884 19.8379 0.793572
306 305.605 130 20 316227 484.655 109.884 19.6635 0.790267
307 306.605 130 20 316227 466.034 109.885 19.5477 0.786957
308 307.605 130 20 316227 449.531 109.885 19.486 0.783642
309 308.605 130 20 316227 434.974 109.885 19.4725 0.780327
310 309.605 130 20 316227 422.211 109.885 19.5001 0.777015
311 310.605 130 20 316227 411.111 109.885 19.5603 0.77371
312 311.605 130 20 316227 401.561 109.885 19.6432 0.770415
313 312.605 130 20 316227 393.462 109.885 19.7377 0.767136
314 313.605 130 19 316227 386.638 109.885 19.8312 0.763852
315 314.605 130 19 316227 381.212 109.886 19.9016 0.760623
316 315.605 130 19 316227 377.019 109.886 19.954 0.757426
317 316.605 130 19 316227 374.009 109.886 19.9656 0.754269
318 317.605 130 19 316227 372.139 109.886 19.9247 0.751159
319 318.605 130 19 316227 371.377 109.886 19.8222 0.748102
320 319.605 130 19 316227 371.697 109.886 19.6518 0.745106
321 320.605 130 19 316227 373.08 109.886 19.4113 0.742179
322 321.605 130 19 316227 375.514 109.887 19.102 0.739326
323 322.605 130 19 316227 378.991 109.887 18.7291 0.736554
324 323.605 130 19 316227 383.51 109.887 18.3006 0.733869
325 324.605 130 19 316227 389.075 109.887 17.8269 0.731277
326 325.605 130 19 316227 395.695 109.887 17.3194 0.728781
327 326.605 130 19 316227 403.384 109.887 16.7896 0.726386
328 327.605 130 19 316227 412.158 109.888 16.2487 0.724093
329 328.605 130 19 316226 422.042 109.888 15.7066 0.721906
330 329.605 130 19 316226 433.06 109.888 15.1716 0.719825
331 330.605 130 19 316226 445.245 109.888 14.6506 0.717851
332 331.605 130 19 316226 458.632 109.888 14.1486 0.715982
333 332.605 130 19 316226 473.259 109.889 13.6694 0.714219
334 333.605 130 18 316226 489.072 109.889 13.2153 0.712521
335 334.605 130 18 316226 506.327 109.889 12.7829 0.710966
336 335.605 130 18 316226 524.966 109.889 12.3829 0.709509
337 336.605 130 18 316226 545.044 109.89 12.0093 0.708145
338 337.605 130 15 316226 566.343 109.89 11.6614 0.706786
339 338.605 130 15 316226 589.524 109.89 11.3279 0.705612
340 339.605 130 15 316226 614.34 109.89 11.03 0.704518
341 340.605 130 14 316226 640.772 109.891 10.7539 0.703476
342 341.605 130 13 316225 669.012 109.891 10.4952 0.70251
343 342.605 130 12 316225 699.141 109.892 10.2561 0.701617
344 343.605 130 12 316225 731.348 109.892 10.035 0.700817
345 344.605 130 12 316225 765.625 109.892 9.83284 0.700077
346 345.605 130 12 316225 802.077 109.893 9.64526 0.699392
347 346.605 130 12 316225 840.816 109.893 9.47108 0.69876
348 347.605 130 12 316225 881.963 109.894 9.30918 0.698177
349 348.605 130 12 316225 925.643 109.894 9.15852 0.697639
350 349.605 130 12 316224 971.991 109.895 9.01813 0.697144
351 350.605 130 11 316224 1021.06 109.895 8.8871 0.69667
352 351.605 130 11 316224 1073.19 109.896 8.76321 0.696254
353 352.605 130 11 316224 1128.44 109.897 8.64876 0.695872
354 353.605 130 11 316224 1186.97 109.897 8.54138 0.69552
355 354.605 130 11 316223 1248.97 109.898 8.44043 0.695198
356 355.605 130 11 316223 1314.63 109.899 8.34534 0.694902
357 356.605 130 11 316223 1384.15 109.9 8.2556 0.69463
358 357.605 130 10 316223 1457.63 109.9 8.17075 0.694374
359 358.605 130 10 316222 1535.51 109.901 8.08935 0.694147
360 359.605 130 10 316222 1617.92 109.902 8.01314 0.69394
361 360.605 130 10 316222 1705.11 109.903 7.94062 0.69375
362 361.605 130 10 316221 1797.34 109.904 7.87149 0.693577
363 362.605 130 10 316221 1894.89 109.905 7.80546 0.69342
364 363.605 130 10 316221 1998.06 109.907 7.74227 0.693276
365 364.605 130 10 316220 2107.16 109.908 7.68169 0.693145
366 365.605 130 10 316220 2222.52 109.909 7.62349 0.693027
367 366.605 130 9 316219 2344.39 109.911 7.5675 0.692916
368 367.605 130 9 316219 2473.34 109.912 7.51295 0.692819
369 368.605 130 9 316218 2609.65 109.914 7.46092 0.692732
370 369.605 130 9 316218 2753.73 109.915 7.4106 0.692655
371 370.605 130 9 316217 2906.01 109.917 7.36189 0.692585
372 371.605 130 9 316217 3066.95 109.919 7.31466 0.692524
373 372.605 130 9 316216 3237.03 109.921 7.26881 0.69247
374 373.605 130 9 316215 3416.75 109.923 7.22425 0.692424
375 374.605 130 9 316215 3606.65 109.925 7.1809 0.692384
376 375.605 130 9 316214 3807.29 109.928 7.13867 0.692351
377 376.605 130 9 316213 4019.26 109.93 7.09751 0.692323
378 377.605 130 9 316212 4243.19 109.933 7.05735 0.692302
379 378.605 130 9 316212 4479.73 109.935 7.01814 0.692286
380 379.605 130 9 316211 4729.57 109.938 6.97983 0.692276
381 380.605 130 9 316210 4993.44 109.941 6.94238 0.692272
382 381.605 130 9 316209 5272.11 109.945 6.90574 0.692273
383 382.605 130 9 316208 5566.37 109.948 6.86989 0.692279
384 383.847 131 9 316206 5954.93 109.953 6.82641 0.692294
385 384.847 131 9 316205 6287.3 109.957 6.79222 0.692312
386 385.847 131 9 316204 6638.16 109.961 6.75873 0.692336
387 386.847 131 9 316202 7008.5 109.965 6.72592 0.692365
388 387.847 131 9 316201 7399.35 109.97 6.69378 0.692399
389 388.847 131 9 316200 7811.8 109.975 6.66229 0.692439
390 389.847 131 9 316198 8246.98 109.98 6.63143 0.692485
391 390.847 131 9 316196 8706.08 109.985 6.60121 0.692536
392 391.847 131 9 316195 9190.34 109.991 6.57161 0.692594
393 392.847 131 9 316193 9701.06 109.997 6.54263 0.692657
394 393.847 131 9 316191 10239.6 110.004 6.51426 0.692728
395 394.847 131 9 316189 10807.3 110.011 6.4865 0.692805
396 395.847 131 9 316187 11405.8 110.018 6.45936 0.692888
397 396.847 131 9 316184 12036.4 110.025 6.43282 0.69298
398 397.847 131 9 316182 12700.9 110.033 6.40689 0.693078
399 398.847 131 9 316180 13400.8 110.042 6.38158 0.693185
400 399.847 131 9 316177 14137.9 110.05 6.3569 0.693299
401 400.847 131 9 316174 14914 110.06 6.33283 0.693423
402 401.847 131 9 316171 15730.7 110.069 6.30941 0.693555
403 402.847 131 9 316168 16590.2 110.08 6.28663 0.693697
404 403.847 131 9 316165 17494.2 110.09 6.26449 0.693849
405 404.847 131 9 316162 18444.7 110.102 6.24303 0.69401
406 405.847 131 9 316158 19443.9 110.114 6.22224 0.694183
407 406.847 131 9 316154 20493.8 110.126 6.20213 0.694367
408 407.847 131 9 316150 21596.5 110.139 6.18274 0.694563
409 408.847 131 9 316146 22754.3 110.153 6.16406 0.694771
410 409.847 131 9 316142 23969.1 110.168 6.14611 0.694992
411 410.847 131 9 316138 25243.4 110.183 6.12892 0.695226
412 411.847 131 8 316133 26579.2 110.199 6.11251 0.695475
413 412.847 131 8 316128 27979 110.215 6.09684 0.695738
414 413.847 131 7 316123 29444.8 110.232 6.08204 0.696016
415 414.847 131 7 316118 30978.9 110.25 6.06804 0.696311
